"sku","section_width","aspect_ratio","diameter","tire_type","""sku"",""section_width"",""aspect_ratio"",""diameter"",""tire_type"""
107200,235,60,16,1,"""107200"",""235"",""60"",""16"",""1"""
107210,205,55,16,1,"""107210"",""205"",""55"",""16"",""1"""
107220,215,55,16,1,"""107220"",""215"",""55"",""16"",""1"""
107260,215,60,17,1,"""107260"",""215"",""60"",""17"",""1"""
107270,225,60,17,1,"""107270"",""225"",""60"",""17"",""1"""
107290,225,55,17,1,"""107290"",""225"",""55"",""17"",""1"""
107310,235,55,17,1,"""107310"",""235"",""55"",""17"",""1"""
107390,225,60,18,1,"""107390"",""225"",""60"",""18"",""1"""
107070,195,60,15,1,"""107070"",""195"",""60"",""15"",""1"""
107630,205,65,16,1,"""107630"",""205"",""65"",""16"",""1"""
107150,205,60,16,1,"""107150"",""205"",""60"",""16"",""1"""
107170,215,60,16,1,"""107170"",""215"",""60"",""16"",""1"""
107570,205,55,16,1,"""107570"",""205"",""55"",""16"",""1"""
107230,225,55,16,1,"""107230"",""225"",""55"",""16"",""1"""
107540,215,50,16,1,"""107540"",""215"",""50"",""16"",""1"""
107240,225,50,16,1,"""107240"",""225"",""50"",""16"",""1"""
107280,215,55,17,1,"""107280"",""215"",""55"",""17"",""1"""
107300,225,55,17,1,"""107300"",""225"",""55"",""17"",""1"""
107320,205,50,17,1,"""107320"",""205"",""50"",""17"",""1"""
107330,215,50,17,1,"""107330"",""215"",""50"",""17"",""1"""
107600,225,50,17,1,"""107600"",""225"",""50"",""17"",""1"""
107340,225,50,17,1,"""107340"",""225"",""50"",""17"",""1"""
107350,235,50,17,1,"""107350"",""235"",""50"",""17"",""1"""
107360,245,50,17,1,"""107360"",""245"",""50"",""17"",""1"""
107530,225,45,17,1,"""107530"",""225"",""45"",""17"",""1"""
107370,235,45,17,1,"""107370"",""235"",""45"",""17"",""1"""
107520,245,45,17,1,"""107520"",""245"",""45"",""17"",""1"""
107380,255,45,17,1,"""107380"",""255"",""45"",""17"",""1"""
107460,235,55,18,1,"""107460"",""235"",""55"",""18"",""1"""
107480,235,50,18,1,"""107480"",""235"",""50"",""18"",""1"""
107410,245,50,18,1,"""107410"",""245"",""50"",""18"",""1"""
107560,235,45,18,1,"""107560"",""235"",""45"",""18"",""1"""
107420,245,45,18,1,"""107420"",""245"",""45"",""18"",""1"""
107610,255,45,18,1,"""107610"",""255"",""45"",""18"",""1"""
107620,235,40,18,1,"""107620"",""235"",""40"",""18"",""1"""
107500,245,40,18,1,"""107500"",""245"",""40"",""18"",""1"""
107510,275,35,18,1,"""107510"",""275"",""35"",""18"",""1"""
187410,195,55,15,1,"""187410"",""195"",""55"",""15"",""1"""
187310,195,50,16,1,"""187310"",""195"",""50"",""16"",""1"""
245620,195,55,14,1,"""245620"",""195"",""55"",""14"",""1"""
245800,195,45,14,1,"""245800"",""195"",""45"",""14"",""1"""
245930,225,40,14,1,"""245930"",""225"",""40"",""14"",""1"""
245630,185,55,15,1,"""245630"",""185"",""55"",""15"",""1"""
245640,195,55,15,1,"""245640"",""195"",""55"",""15"",""1"""
245660,205,55,15,1,"""245660"",""205"",""55"",""15"",""1"""
245700,195,50,15,1,"""245700"",""195"",""50"",""15"",""1"""
245710,205,50,15,1,"""245710"",""205"",""50"",""15"",""1"""
245720,225,50,15,1,"""245720"",""225"",""50"",""15"",""1"""
245810,195,45,15,1,"""245810"",""195"",""45"",""15"",""1"""
245820,205,45,15,1,"""245820"",""205"",""45"",""15"",""1"""
245830,215,45,15,1,"""245830"",""215"",""45"",""15"",""1"""
246700,195,55,16,1,"""246700"",""195"",""55"",""16"",""1"""
245670,205,55,16,1,"""245670"",""205"",""55"",""16"",""1"""
245680,215,55,16,1,"""245680"",""215"",""55"",""16"",""1"""
245690,225,55,16,1,"""245690"",""225"",""55"",""16"",""1"""
246120,245,55,16,1,"""246120"",""245"",""55"",""16"",""1"""
245730,185,50,16,1,"""245730"",""185"",""50"",""16"",""1"""
245740,195,50,16,1,"""245740"",""195"",""50"",""16"",""1"""
245750,205,50,16,1,"""245750"",""205"",""50"",""16"",""1"""
245760,225,50,16,1,"""245760"",""225"",""50"",""16"",""1"""
246140,235,50,16,1,"""246140"",""235"",""50"",""16"",""1"""
245840,195,45,16,1,"""245840"",""195"",""45"",""16"",""1"""
245850,205,45,16,1,"""245850"",""205"",""45"",""16"",""1"""
245860,225,45,16,1,"""245860"",""225"",""45"",""16"",""1"""
245870,245,45,16,1,"""245870"",""245"",""45"",""16"",""1"""
246170,195,40,16,1,"""246170"",""195"",""40"",""16"",""1"""
245940,215,40,16,1,"""245940"",""215"",""40"",""16"",""1"""
245950,225,40,16,1,"""245950"",""225"",""40"",""16"",""1"""
246240,245,35,16,1,"""246240"",""245"",""35"",""16"",""1"""
246130,225,55,17,1,"""246130"",""225"",""55"",""17"",""1"""
245770,205,50,17,1,"""245770"",""205"",""50"",""17"",""1"""
245780,215,50,17,1,"""245780"",""215"",""50"",""17"",""1"""
246500,225,50,17,1,"""246500"",""225"",""50"",""17"",""1"""
246510,235,50,17,1,"""246510"",""235"",""50"",""17"",""1"""
246450,205,45,17,1,"""246450"",""205"",""45"",""17"",""1"""
245880,215,45,17,1,"""245880"",""215"",""45"",""17"",""1"""
245600,225,45,17,1,"""245600"",""225"",""45"",""17"",""1"""
245890,235,45,17,1,"""245890"",""235"",""45"",""17"",""1"""
245900,245,45,17,1,"""245900"",""245"",""45"",""17"",""1"""
246160,255,45,17,1,"""246160"",""255"",""45"",""17"",""1"""
245610,205,40,17,1,"""245610"",""205"",""40"",""17"",""1"""
245960,215,40,17,1,"""245960"",""215"",""40"",""17"",""1"""
245970,235,40,17,1,"""245970"",""235"",""40"",""17"",""1"""
245980,245,40,17,1,"""245980"",""245"",""40"",""17"",""1"""
245990,255,40,17,1,"""245990"",""255"",""40"",""17"",""1"""
246000,265,40,17,1,"""246000"",""265"",""40"",""17"",""1"""
246040,245,35,17,1,"""246040"",""245"",""35"",""17"",""1"""
245790,235,50,18,1,"""245790"",""235"",""50"",""18"",""1"""
246520,215,45,18,1,"""246520"",""215"",""45"",""18"",""1"""
246440,225,45,18,1,"""246440"",""225"",""45"",""18"",""1"""
245910,245,45,18,1,"""245910"",""245"",""45"",""18"",""1"""
245920,255,45,18,1,"""245920"",""255"",""45"",""18"",""1"""
246530,215,40,18,1,"""246530"",""215"",""40"",""18"",""1"""
246010,225,40,18,1,"""246010"",""225"",""40"",""18"",""1"""
246020,235,40,18,1,"""246020"",""235"",""40"",""18"",""1"""
246030,245,40,18,1,"""246030"",""245"",""40"",""18"",""1"""
246180,255,40,18,1,"""246180"",""255"",""40"",""18"",""1"""
246190,275,40,18,1,"""246190"",""275"",""40"",""18"",""1"""
246200,285,40,18,1,"""246200"",""285"",""40"",""18"",""1"""
246250,205,35,18,1,"""246250"",""205"",""35"",""18"",""1"""
246050,215,35,18,1,"""246050"",""215"",""35"",""18"",""1"""
246060,225,35,18,1,"""246060"",""225"",""35"",""18"",""1"""
246070,245,35,18,1,"""246070"",""245"",""35"",""18"",""1"""
246080,255,35,18,1,"""246080"",""255"",""35"",""18"",""1"""
246090,265,35,18,1,"""246090"",""265"",""35"",""18"",""1"""
246100,275,35,18,1,"""246100"",""275"",""35"",""18"",""1"""
246260,285,35,18,1,"""246260"",""285"",""35"",""18"",""1"""
246270,295,35,18,1,"""246270"",""295"",""35"",""18"",""1"""
246360,235,30,18,1,"""246360"",""235"",""30"",""18"",""1"""
246560,285,30,18,1,"""246560"",""285"",""30"",""18"",""1"""
246710,245,45,19,1,"""246710"",""245"",""45"",""19"",""1"""
