"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","suggested tire size","with"
"BMW","3 SERIES",330,2006,2006,"5x120",72.56,"HIGH","12X1.5","B BOLT","oe-17","205/50-17",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"f-oe-17","225/45-17",
,,,,,,,,,,"r-oe-17","245/40-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"*plus-18","245/35-18",
,,,,,,,,,,"plus-19","225/35-19",
,,,,,,,,,,"*plus-19","235/35-19",
"BMW","3 SERIES",328,2007,2007,"5x120",72.56,"HIGH","12X1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"f-oe-17","225/45-17",
,,,,,,,,,,"r-oe-17","255/40-17",
,,,,,,,,,,"oe-18","255/35-18",
,,,,,,,,,,"f-oe-18","225/40-18",
,,,,,,,,,,"r-oe-18","255/35-18",
,,,,,,,,,,"plus-19","235/35-19",
,,,,,,,,,,"*plus-19","265/30-19",
"BMW","3 SERIES",330,2007,2007,"5x120",72.56,"HIGH","12X1.5","B BOLT","oe-17","205/50-17",
,,,,,,,,,,"f-oe-18","225/40-18",
,,,,,,,,,,"r-oe-18","255/35-18",
,,,,,,,,,,"r-oe-18","255/35-18",
,,,,,,,,,,"plus-19","235/35-19",
,,,,,,,,,,"*plus-19","265/30-19",
"BMW","3 SERIES",335,2007,2007,"5x120",72.56,"HIGH","12X1.5","B BOLT","oe-17","225/45-17",
,,,,,,,,,,"f-oe-18","225/40-18",
,,,,,,,,,,"r-oe-18","255/35-18",
,,,,,,,,,,"*plus-19","265/30-19",
"BMW","3 SERIES",328,2008,2009,"5x120",72.56,"HIGH","12X1.5","B BOLT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"f-oe-17","225/45-17",
,,,,,,,,,,"r-oe-17","255/40-17",
,,,,,,,,,,"f-oe-18","225/40-18",
,,,,,,,,,,"r-oe-18","255/35-18",
,,,,,,,,,,"plus-19","225/35-19",
,,,,,,,,,,"*plus-19","265/30-19",
"BMW","3 SERIES",335,2008,2009,"5x120",72.56,"HIGH","12X1.5","B BOLT","oe-17","225/45-17",
,,,,,,,,,,"f-oe-17","225/45-17",
,,,,,,,,,,"r-oe-17","255/40-17",
,,,,,,,,,,"f-oe-18","225/40-18",
,,,,,,,,,,"r-oe-18","255/30-18",
,,,,,,,,,,"f-oe-19","225/35-19",
,,,,,,,,,,"r-oe-19","255/30-19",
,,,,,,,,,,"plus-19","225/35-19",
,,,,,,,,,,"*plus-19","265/30-19",
