"make","model","trim","year start","year end","bp","hub","offset","thread","thread","suggested tire size","suggested tire size","with"
"INFINITI","M45","BASE",2006,2009,"5x114.3",66.1,"MID","12X1.25","NUT","oe-18","245/45-18",
,,,,,,,,,,"oe-19","245/40-19",
,,,,,,,,,,"plus-20","245/35-20",
"INFINITI","Q45","BASE",1992,2001,"5x114.3",66.1,"MID","12X1.25","NUT","oe-15","215/65-15",
,,,,,,,,,,"oe-16","215/60-16",
,,,,,,,,,,"plus-17","225/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"INFINITI","Q45T","BASE",1999,2001,"5x114.3",66.1,"MID","12X1.25","NUT","oe-17","225/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"INFINITI","Q45","BASE",2002,2006,"5x114.3",66.1,"MID","12X1.25","NUT","oe-17","225/55-17",
,,,,,,,,,,"oe-18","245/45-18",
,,,,,,,,,,"plus-19","245/40-19",
,,,,,,,,,,"plus-20","245/35-20",
"INFINITI","QX4","BASE",1997,2003,"6x139.7",108,"MID","12X1.25","NUT","oe-16","245/70-16",
,,,,,,,,,,"oe-17","245/65-17",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","265/45-20",
,,,,,,,,,,"plus-22","265/35-22",
"INFINITI","EX35","BASE",2008,2009,"5x114.3",66.1,"HIGH","12X1.25","NUT","oe-17","225/60-17",
,,,,,,,,,,"oe-18","225/55-18",
,,,,,,,,,,"oe-22","245/40-20",
"INFINITI","FX35","BASE",2003,2008,"5x114.3",66.1,"HIGH","12X1.25","NUT","oe-18","265/60-18",
,,,,,,,,,,"oe-20","265/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"INFINITI","FX45","BASE",2003,2008,"5x114.3",66.1,"HIGH","12X1.25","NUT","oe-18","265/60-18",
,,,,,,,,,,"oe-20","265/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"INFINITI","FX35","BASE",2009,2009,"5x114.3",66.1,"HIGH","12X1.25","NUT","oe-18","265/60-18",
,,,,,,,,,,"oe-20","265/50-20",
,,,,,,,,,,"oe-21","265/45-21",
,,,,,,,,,,"plus-22","265/40-22",
"INFINITI","FX50","BASE",2009,2009,"5x114.3",66.1,"HIGH","12X1.25","NUT","oe-18","265/60-18",
,,,,,,,,,,"oe-20","265/50-20",
,,,,,,,,,,"oe-21","265/45-21",
,,,,,,,,,,"plus-22","265/40-22",
"INFINITI","QX56","BASE",2004,2007,"6x139.7",77.8,"MID","12X1.25","NUT","oe-18","265/70-18",
,,,,,,,,,,"plus-20","275/60-20",
,,,,,,,,,,"plus-22","295/45-22",
"INFINITI","QX56","BASE",2008,2009,"6x139.7",77.8,"MID","12X1.25","NUT","oe-20","275/60-20",
,,,,,,,,,,"plus-22","285/50-22",
"ISUZU","ASCENDER","BASE",2003,2008,"6x127",78.1,"HIGH","12X1.25","NUT","oe-17","245/65-17",
,,,,,,,,,,"plus-18","245/60-18",
,,,,,,,,,,"plus-20","275/45-20",
"ISUZU","AXIOM","BASE",2002,2004,"6x139.7",108,"MID","12X1.5","NUT","oe-17","235/65-17",
,,,,,,,,,,"plus-18","255/55-18",
"ISUZU","I280 PICK-UP","BASE",2006,2006,"6x139.7",100,"HIGH","12X1.5","NUT","oe-15","225/75-15",
,,,,,,,,,,"plus-16","225/70-16",
,,,,,,,,,,"plus-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
"ISUZU","I290 PICK-UP","BASE",2007,2008,"6x139.7",100,"HIGH","12X1.5","NUT","oe-15","225/75-15",
,,,,,,,,,,"plus-16","225/70-16",
,,,,,,,,,,"plus-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
"ISUZU","I350 PICK-UP","BASE",2006,2006,"6x139.7",100,"HIGH","12X1.5","NUT","oe-15","265/75-15",
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
"ISUZU","I370 PICK-UP","BASE",2007,2008,"6x139.7",100,"HIGH","12X1.5","NUT","oe-15","225/75-15","2wd"
,,,,,,,,,,"plus-16","235/70-16",
,,,,,,,,,,"plus-17","235/65-17",
,,,,,,,,,,"plus-18","235/60-18",
"ISUZU","I370 PICK-UP","BASE",2007,2008,"6x139.7",100,"HIGH","12X1.5","NUT","oe-15","265/75-15","4wd"
,,,,,,,,,,"plus-16","265/70-16",
,,,,,,,,,,"plus-17","265/65-17",
,,,,,,,,,,"plus-18","265/60-18",
"ISUZU","RODEO","BASE",1992,2004,"6x139.7",108,"MID","12X1.5","NUT","oe-16","225/75-16",
,,,,,,,,,,"oe-16","245/70-16",
,,,,,,,,,,"oe-18","245/60-18",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","255/45-20",
"ISUZU","TROOPER","BASE",1992,2003,"6x139.7",108,"MID","12X1.5","NUT","oe-16","245/70-16",
,,,,,,,,,,"plus-17","255/60-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","255/45-20",
"JAGUAR","S TYPE","BASE",2000,2002,"5x108",63.4,"HIGH","12X1.5","NUT","oe-16","225/55-16",
,,,,,,,,,,"oe-17","225/50-17",
,,,,,,,,,,"oe-17","235/50-17",
,,,,,,,,,,"plus-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
"JAGUAR","S TYPE 2.5","BASE",2003,2004,"5x108",63.4,"HIGH","12X1.5","NUT","oe-16","205/60-16",
,,,,,,,,,,"oe-16","225/55-16",
,,,,,,,,,,"oe-17","235/50-17",
,,,,,,,,,,"plus-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
"JAGUAR","S TYPE 3.0","BASE",2003,2008,"5x108",63.4,"HIGH","12X1.5","NUT","oe-16","225/55-16",
,,,,,,,,,,"oe-17","235/50-17",
,,,,,,,,,,"oe-18","245/50-18",
,,,,,,,,,,"plus-19","245/35-19",
"JAGUAR","S TYPE 4.2","BASE",2003,2008,"5x108",63.4,"HIGH","12X1.5","NUT","oe-16","225/55-16",
,,,,,,,,,,"oe-17","235/50-17",
,,,,,,,,,,"oe-18","245/50-18",
,,,,,,,,,,"plus-19","245/35-19",
"JAGUAR","S TYPE  R","BASE",2003,2008,"5x108",63.4,"HIGH","12X1.5","NUT","f-oe-18","245/40-18",
,,,,,,,,,,"r-oe-18","275/35-18",
,,,,,,,,,,"f-oe-19","245/35-19",
,,,,,,,,,,"r-oe-19","275/30-19",
"JAGUAR","XF","BASE",2009,2009,"5x108",63.4,"HIGH","12X1.5","NUT","oe-18","245/45-18",
,,,,,,,,,,"oe-19","245/40-19",
,,,,,,,,,,"f-oe-20","255/35-20",
,,,,,,,,,,"r-oe-20","285/30-20",
,,,,,,,,,,"plus-21","255/30-21",
,,,,,,,,,,"*plus-21","295/25-21",
"JAGUAR","XJ","BASE",1991,2003,"5x120.7",73.9,"MID","1/2""","NUT","oe-15","205/70-15",
,,,,,,,,,,"oe-15","235/60-15",
,,,,,,,,,,"oe-16","225/60-16",
,,,,,,,,,,"oe-16","225/55-16",
,,,,,,,,,,"oe-17","235/50-17",
,,,,,,,,,,"oe-17","255/45-17",
,,,,,,,,,,"oe-18","255/40-18",
,,,,,,,,,,"oe-19","255/35-19",
"JAGUAR","XJ","XJ8",2004,2009,"5x108",63.4,"HIGH","12X1.5","NUT","oe-17","265/55-17","vandan plas"
,,,,,,,,,,"oe-18","235/50-18",
,,,,,,,,,,"oe-19","255/40-19",
,,,,,,,,,,"plus-20","255/35-20",
"JAGUAR","XJ","XJ8L",2004,2009,"5x108",63.4,"HIGH","12X1.5","NUT","oe-17","265/55-17","vandan plas"
,,,,,,,,,,"oe-18","235/50-18",
,,,,,,,,,,"oe-19","255/40-19",
,,,,,,,,,,"plus-20","255/35-20",
"JAGUAR","XJ","XJR ",2004,2009,"5x108",63.4,"HIGH","12X1.5","NUT","oe-19","255/40-19","super v8"
,,,,,,,,,,"oe-20","255/35-20",
"JAGUAR","XK","BASE",2007,2009,"5x108",63.4,"HIGH","12X1.5","NUT","f-oe-18","245/45-18",
,,,,,,,,,,"r-oe-18","275/40-18",
,,,,,,,,,,"f-oe-19","245/40-19",
,,,,,,,,,,"r-oe-19","275/35-19",
,,,,,,,,,,"f-oe-20","255/35-20",
,,,,,,,,,,"r-oe-20","285/30-20",
"JAGUAR","XK8","BASE",1997,2006,"5x120.7",73.9,"MID","1/2""","NUT","oe-17","245/50-17",
,,,,,,,,,,"f-oe-18","245/45-18",
,,,,,,,,,,"r-oe-18","255/45-18",
,,,,,,,,,,"plus-19","245/40-19",
,,,,,,,,,,"*plus-19","255/40-19",
,,,,,,,,,,"plua-20","245/35-20",
,,,,,,,,,,"*plus-20","255/35-20",
"JAGUAR","XKR","BASE",2000,2006,"5x120.7",73.9,"MID","1/2""","NUT","f-oe-18","245/45-18",
,,,,,,,,,,"r-oe-18","255/45-18",
,,,,,,,,,,"f-oe-20","255/35-20",
,,,,,,,,,,"r-oe-20","285/30-20",
"JAGUAR","XKR","BASE",2007,2009,"5x108",63.4,"HIGH","12X1.5","NUT","f-oe-19","245/40-19",
,,,,,,,,,,"r-oe-19","275/35-19",
,,,,,,,,,,"f-oe-20","255/35-20",
,,,,,,,,,,"r-oe-20","285/30-20",
"JAGUAR","X TYPE 2.5","BASE",2002,2008,"5x108",63.4,"HIGH","12X1.5","NUT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"JAGUAR","X TYPE 3.0","BASE",2002,2008,"5x108",63.4,"HIGH","12X1.5","NUT","oe-16","205/55-16",
,,,,,,,,,,"oe-17","225/45-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"JAGUAR","X TYPE VDP - SPORT WAGON","BASE",2002,2008,"5x108",63.4,"HIGH","12X1.5","NUT","oe-17","225/45-17","sport wgn"
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
"JEEP","CHEROKEE","BASE",1986,2002,"5x114.3",71.5,"MID","1/2""","NUT","oe-15","215/75-15",
,,,,,,,,,,"oe-15","225/70-15",
,,,,,,,,,,"oe-15","225/75-15",
,,,,,,,,,,"oe-16","225/70-16",
,,,,,,,,,,"plus-17","255/55-17",
,,,,,,,,,,"plus-18","255/55-18",
"JEEP","COMMANDER","BASE",2006,2009,"5x127",71.5,"HIGH","1/2""","NUT","oe-17","245/65-17","2wd,4wd"
,,,,,,,,,,"oe-18","245/60-18",
,,,,,,,,,,"plus-20","255/50-20",
"JEEP","COMPASS","BASE",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-17","215/60-17","2wd,4wd"
,,,,,,,,,,"oe-17","215/65-17",
,,,,,,,,,,"oe-18","215/55-18",
,,,,,,,,,,"plus-18","225/55-18",
,,,,,,,,,,"plus-19","235/45-19",
,,,,,,,,,,"plus-20","245/40-20",
"JEEP","GRAND CHEROKEE","BASE",1999,2004,"5x127",71.5,"HIGH","1/2""","NUT","oe-16","225/75-16","2wd,4wd"
,,,,,,,,,,"oe-16","245/70-16",
,,,,,,,,,,"oe-17","235/65-17",
,,,,,,,,,,"plus-18","255/55-18",
,,,,,,,,,,"plus-20","255/50-20",
"JEEP","GRAND CHEROKEE","BASE",2005,2009,"5x127",71.5,"HIGH","1/2""","NUT","oe-17","235/65-17","2wd,4wd"
,,,,,,,,,,"oe-17","245/65-17",
,,,,,,,,,,"oe-18","245/60-18",
,,,,,,,,,,"plus-20","255/50-20",
"JEEP","GRAND CHEROKEE","SRT8",2006,2009,"5x127",71.5,"HIGH","1/2""","NUT","f-oe-20","255/45-20","srt8 4wd"
,,,,,,,,,,"r-oe-20","285/40-20",
"JEEP","LIBERTY","BASE",2002,2007,"5x114.3",71.5,"MID","1/2""","NUT","oe-16","215/75-16","2wd,4wd"
,,,,,,,,,,"oe-16","225/75-16",
,,,,,,,,,,"oe-16","235/70-16",
,,,,,,,,,,"oe-17","235/65-17",
,,,,,,,,,,"plus-18","255/55-18",
"JEEP","LIBERTY","BASE",2008,2009,"5x114.3",67.1,"HIGH","1/2""","NUT","oe-16","225/75-16",
,,,,,,,,,,"oe-16","235/70-16",
,,,,,,,,,,"oe-17","235/65-17",
,,,,,,,,,,"oe-18","235/60-18",
,,,,,,,,,,"plus-18","255/55-18",
"JEEP","PATRIOT","BASE",2007,2009,"5x114.3",67.1,"HIGH","1/2""","NUT","oe-16","205/70-16","2wd,4wd"
,,,,,,,,,,"oe-17","215/60-17",
,,,,,,,,,,"oe-17","215/65-17",
,,,,,,,,,,"plus-18","225/55-18",
"JEEP","PROSPECTOR","BASE",2008,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","225/75-16",
,,,,,,,,,,"oe-16","235/70-16",
,,,,,,,,,,"plus-17","235/65-17",
"JEEP","WRANGLER","BASE",1986,2006,"5x114.3",71.5,"MID","1/2""","NUT","oe-15","205/75-15",
,,,,,,,,,,"oe-15","215/75-15",
,,,,,,,,,,"oe-15","225/75-15",
,,,,,,,,,,"plus-16","225/70-16",
,,,,,,,,,,"plus-17","255/55-17",
,,,,,,,,,,"plus-18","255/55-18",
"JEEP","WRANGLER","RUBICON",2004,2006,"5x114.3",71.5,"MID","1/2""","NUT","oe-16","245/75-16","with oe-16"
,,,,,,,,,,"plus-17","265/65-17",
"JEEP","WRANGLER","BASE",2007,2009,"5x127",71.5,"MID","1/2""","NUT","oe-16","225/75-16","2wd,4wd with oe-16"
,,,,,,,,,,"plus-17","245/65-17",
,,,,,,,,,,"plus-18","245/60-18",
"JEEP","WRANGLER","BASE",2008,2009,"5x127",71.5,"MID","1/2""","NUT","oe-17","255/75-17","2wd,4wd with oe-17 and oe-18"
,,,,,,,,,,"oe-18","255/70-18",
"JEEP","WRANGLER","SAHARA",2007,2009,"5x127",71.5,"MID","1/2""","NUT","oe-17","255/75-17","2wd,4wd"
,,,,,,,,,,"oe-18","255/70-18",
"JEEP","WRANGLER","RUBICON",2007,2009,"5x127",71.5,"MID","1/2""","NUT","oe-17","255/75-17","2wd,4wd"
,,,,,,,,,,"oe-18","255/70-18",
"KIA","AMANTI","BASE",2004,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","225/60-16",
,,,,,,,,,,"oe-17","235/55-17",
,,,,,,,,,,"plus-18","235/45-18",
,,,,,,,,,,"plus-19","235/40-19",
,,,,,,,,,,"plus-20","235/35-20",
"KIA","IMAGE","BASE",2001,2003,"4x114.3",67.1,"HIGH","12X1.5","NUT","oe-14","195/70-14",
,,,,,,,,,,"oe-15","205/60-15",
,,,,,,,,,,"oe-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
"KIA","OPTIMA","LE",2001,2006,"4x114.3",67.1,"HIGH","12X1.5","NUT","oe-14","195/70-14",
,,,,,,,,,,"oe-15","205/60-15",
,,,,,,,,,,"oe-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
"KIA","OPTIMA","EX",2001,2006,"4x114.3",67.1,"HIGH","12X1.5","NUT","oe-14","195/70-14",
,,,,,,,,,,"oe-15","205/60-15",
,,,,,,,,,,"oe-16","205/55-16",
,,,,,,,,,,"plus-17","215/45-17",
,,,,,,,,,,"plus-18","215/40-18",
"KIA","OPTIMA","2.4L",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-15","205/65-15",
,,,,,,,,,,"oe-16","205/60-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"KIA","OPTIMA","2.7L",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-15","205/65-15",
,,,,,,,,,,"oe-16","205/60-16",
,,,,,,,,,,"oe-17","215/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"KIA","RIO","BASE",2001,2005,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","175/70-14",
,,,,,,,,,,"oe014","185/65-14",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","195/50-16",
,,,,,,,,,,"plus-18","205/40-17",
"KIA","RIO","LX",2001,2005,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","175/70-14",
,,,,,,,,,,"oe014","185/65-14",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","195/50-16",
,,,,,,,,,,"plus-18","205/40-17",
"KIA","RIO-5","BASE",2001,2005,"4x100",54.1,"HIGH","12X1.5","NUT","oe-15","195/55-15",
,,,,,,,,,,"plus-16","195/50-16",
,,,,,,,,,,"plus-17","205/40-17",
"KIA","RIO","BASE",2006,2009,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","175/70-14",
,,,,,,,,,,"oe-14","185/65-14",
,,,,,,,,,,"oe-15","195/55-15",
,,,,,,,,,,"oe-16","205/45-16",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","195/50-16",
,,,,,,,,,,"plus-17","205/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","RIO","LX",2006,2009,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","175/70-14",
,,,,,,,,,,"oe-14","185/65-14",
,,,,,,,,,,"oe-15","195/55-15",
,,,,,,,,,,"oe-16","205/45-16",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","195/50-16",
,,,,,,,,,,"plus-17","205/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","RIO","SX",2006,2009,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","175/70-14",
,,,,,,,,,,"oe-14","185/65-14",
,,,,,,,,,,"oe-15","195/55-15",
,,,,,,,,,,"oe-16","205/45-16",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","195/50-16",
,,,,,,,,,,"plus-17","205/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","RIO-5","BASE",2005,2009,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","185/65-14",
,,,,,,,,,,"oe-15","195/55-15",
,,,,,,,,,,"oe-16","205/45-16",
,,,,,,,,,,"plus-17","205/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","SEPHIA","BASE",1994,1997,"4x100",54.1,"HIGH","12X1.5","NUT","oe-13","175/70-13",
,,,,,,,,,,"oe-14","185/60-14",
,,,,,,,,,,"plus-15","205/50-15",
,,,,,,,,,,"plus-16","205/45-16",
"KIA","SEPHIA","BASE",1998,2001,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","185/65-14",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","205/45-16",
,,,,,,,,,,"plus-17","205/40-17",
"KIA","SPECTRA","BASE",2000,2004,"4x100",54.1,"HIGH","12X1.5","NUT","oe-14","185/65-14",
,,,,,,,,,,"plus-15","195/55-15",
,,,,,,,,,,"plus-16","205/45-16",
,,,,,,,,,,"plus-17","205/40-17",
"KIA","SPECTRA","EX",2005,2009,"4x114.3",67.1,"HIGH","12X1.5","NUT","oe-15","195/60-15",
,,,,,,,,,,"oe-16","205/50-16",
,,,,,,,,,,"plus-17","215/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","SPECTRA","SX",2005,2009,"4x114.3",67.1,"HIGH","12X1.5","NUT","oe-15","195/60-15",
,,,,,,,,,,"oe-16","205/50-16",
,,,,,,,,,,"plus-17","215/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","SPECTRA 5","BASE",2005,2009,"4x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","205/50-16",
,,,,,,,,,,"plus-17","215/40-17",
,,,,,,,,,,"plus-18","215/35-18",
"KIA","BORREGO","BASE",2009,2009,"6x114.3",67.1,"HIGH","12X1.5","NUT","oe-17","245/70-17",
,,,,,,,,,,"oe-18","265/60-18",
,,,,,,,,,,"plus-20","265/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"KIA","RONDO","LX",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","205/60-16",
,,,,,,,,,,"oe-17","225/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
"KIA","RONDO","EX",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","205/60-16",
,,,,,,,,,,"oe-17","225/50-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
"KIA","SENTRY","BASE",2007,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-15","215/70-15",
,,,,,,,,,,"plus-16","225/60-16",
,,,,,,,,,,"plus-17","225/55-17",
"KIA","SEDONA","BASE",2002,2005,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-15","215/70-15",
,,,,,,,,,,"plus-16","225/60-16",
,,,,,,,,,,"plus-17","225/55-17",
,,,,,,,,,,"plus-18","225/50-18",
"KIA","SEDONA","LX",2006,2009,"6x139.7",92.3,"HIGH","12X1.5","NUT","oe-16","225/70-16",
,,,,,,,,,,"oe-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
"KIA","SEDONA","EX",2006,2009,"6x139.7",92.3,"HIGH","12X1.5","NUT","oe-16","225/70-16",
,,,,,,,,,,"oe-17","235/60-17",
,,,,,,,,,,"plus-18","235/55-18",
"KIA","SORENTO","BASE",2003,2006,"5x139.7",95.3,"MID","12X1.5","NUT","oe-16","245/70-16","2wd,4wd"
,,,,,,,,,,"plus-17","245/65-17",
,,,,,,,,,,"plus-18","245/60-18",
"KIA","SORENTO","BASE",2007,2009,"5x139.7",95.3,"MID","12X1.5","NUT","oe-16","245/70-16","2wd,4wd"
,,,,,,,,,,"oe-17","245/65-17",
,,,,,,,,,,"plus-18","245/60-18",
"KIA","SPORTAGE","BASE",1995,2004,"5x139.7",95.3,"LOW","12X1.5","NUT","oe-15","205/75-15",
,,,,,,,,,,"plus-16","215/65-16",
,,,,,,,,,,"plus-17","225/55-17",
"KIA","SPORTAGE","LX",2005,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","215/65-16",
,,,,,,,,,,"oe-16","235-60-16",
,,,,,,,,,,"plus-17","235/55-17",
,,,,,,,,,,"plus-18","235/50-18",
"KIA","SPORTAGE","EX",2005,2009,"5x114.3",67.1,"HIGH","12X1.5","NUT","oe-16","215/65-16",
,,,,,,,,,,"oe-16","235-60-16",
,,,,,,,,,,"plus-17","235/55-17",
,,,,,,,,,,"plus-18","235/50-18",
"LAND ROVER","DISCOVERY II","BASE",1999,2004,"5x120",72.5,"HIGH","14X1.5","NUT","oe-16","255/65-16",
,,,,,,,,,,"oe-18","255/55-18",
,,,,,,,,,,"plus-19","255/50-19",
"LAND ROVER","FREELANDER","SE",2002,2005,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/65-16",
,,,,,,,,,,"oe-17","225/55-17",
,,,,,,,,,,"oe-18","235/50-18",
"LAND ROVER","FREELANDER","SE3",2002,2005,"5x114.3",64.1,"HIGH","12X1.5","NUT","oe-16","215/65-16",
,,,,,,,,,,"oe-17","225/55-17",
,,,,,,,,,,"oe-18","235/50-18",
"LAND ROVER","LR2","BASE",2008,2009,"5x108",63.4,"HIGH","14X1.5","NUT","oe-18","235/60-18",
,,,,,,,,,,"oe-19","235/55-19",
,,,,,,,,,,"plus-20","255/45-20",
,,,,,,,,,,"plus-22","255/35-22",
"LAND ROVER","LR3","SE",2005,2009,"5x120",72.5,"HIGH","14X1.5","NUT","oe-18","255/60-18",
,,,,,,,,,,"oe-19","255/55-19",
,,,,,,,,,,"plus-20","255/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"LAND ROVER","LR3","HSE",2005,2009,"5x120",72.5,"HIGH","14X1.5","NUT","oe-18","255/60-18",
,,,,,,,,,,"oe-19","255/55-19",
,,,,,,,,,,"plus-20","255/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"LAND ROVER","RANGE ROVER","BASE",1996,2002,"5x120",72.5,"HIGH","14X1.5","NUT","oe-16","255/65-16",
,,,,,,,,,,"oe-18","255/55-18",
,,,,,,,,,,"plus-19","255/50-19",
"LAND ROVER","RANGE ROVER","HSE - SUPERCHARGED",2003,2009,"5x120",72.5,"HIGH","14X1.5","NUT","oe-19","255/55-19",
,,,,,,,,,,"oe-20","255/50-20",
,,,,,,,,,,"plus-22","265/40-22",
"LAND ROVER","RANGE ROVER","HSE - SUPERCHARGED",2005,2009,"5x120",72.5,"HIGH","14X1.5","NUT","oe-19","255/50-19","sport model"
,,,,,,,,,,"oe-20","275/40-20",
"LEXUS","ES300","BASE",1992,2001,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-15","205/65-18",
,,,,,,,,,,"oe-16","205/60-16",
,,,,,,,,,,"plus-17","215/50-17",
,,,,,,,,,,"plus-18","225/40-18",
,,,,,,,,,,"plus-19","225/35-19",
,,,,,,,,,,"plus-20","225/30-20",
"LEXUS","ES300","BASE",2002,2003,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
,,,,,,,,,,"oe-17","215/55-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"LEXUS","ES330","BASE",2004,2006,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
,,,,,,,,,,"oe-17","215/55-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"LEXUS","ES350","BASE",2007,2009,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-17","215/55-17",
,,,,,,,,,,"plus-18","225/45-18",
,,,,,,,,,,"plus-19","225/40-19",
,,,,,,,,,,"plus-20","225/35-20",
"LEXUS","GS300","BASE",1993,2006,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-16","215/60-16","rwd,awd"
,,,,,,,,,,"oe-16","225/55-16",
,,,,,,,,,,"oe-17","225/50-17",
,,,,,,,,,,"plus-17","225/50-17",
,,,,,,,,,,"plus-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"LEXUS","GS350","BASE",2007,2009,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-17","225/50-17","rwd,awd"
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"LEXUS","GS400","BASE",1998,2000,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-16","225/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"plus-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","245/30-20",
"LEXUS","GS430","BASE",2001,2007,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-16","215/60-16",
,,,,,,,,,,"oe-16","225/55-16",
,,,,,,,,,,"oe-17","235/45-17",
,,,,,,,,,,"oe-18","245/40-18",
,,,,,,,,,,"plus-19","245/35-19",
,,,,,,,,,,"plus-20","255/30-20",
"LEXUS","GS460","BASE",2008,2009,"5x114.3",60.1,"HIGH","12X1.5","NUT","oe-18","245/40-18",
